experiment_id,bootstrap_run,seed,noise_level,target,prob_target,counts
ENTANGLED_DEPTH3_P11,0,2000,0.05,11,0.2535,"{'01': 1327, '00': 802, '10': 857, '11': 1014}"
ENTANGLED_DEPTH3_P11,0,2000,0.1,11,0.25675,"{'01': 1199, '00': 887, '10': 887, '11': 1027}"
ENTANGLED_DEPTH3_P11,0,2000,0.2,11,0.2585,"{'01': 1042, '00': 993, '10': 931, '11': 1034}"
ENTANGLED_DEPTH3_P11,0,2000,0.3,11,0.259,"{'01': 999, '00': 1020, '10': 945, '11': 1036}"
ENTANGLED_DEPTH3_P11,1,2001,0.05,11,0.247,"{'10': 860, '11': 988, '00': 784, '01': 1368}"
ENTANGLED_DEPTH3_P11,1,2001,0.1,11,0.25075,"{'10': 877, '11': 1003, '00': 869, '01': 1251}"
ENTANGLED_DEPTH3_P11,1,2001,0.2,11,0.253,"{'10': 921, '11': 1012, '00': 979, '01': 1088}"
ENTANGLED_DEPTH3_P11,1,2001,0.3,11,0.253,"{'10': 939, '11': 1012, '00': 1014, '01': 1035}"
ENTANGLED_DEPTH3_P11,2,2002,0.05,11,0.24325,"{'01': 1361, '11': 973, '00': 767, '10': 899}"
ENTANGLED_DEPTH3_P11,2,2002,0.1,11,0.2475,"{'01': 1235, '11': 990, '00': 849, '10': 926}"
ENTANGLED_DEPTH3_P11,2,2002,0.2,11,0.24925,"{'01': 1065, '11': 997, '00': 965, '10': 973}"
ENTANGLED_DEPTH3_P11,2,2002,0.3,11,0.24925,"{'01': 1018, '11': 997, '00': 989, '10': 996}"
ENTANGLED_DEPTH3_P11,3,2003,0.05,11,0.25075,"{'01': 1320, '00': 787, '10': 890, '11': 1003}"
ENTANGLED_DEPTH3_P11,3,2003,0.1,11,0.25375,"{'01': 1202, '00': 864, '10': 919, '11': 1015}"
ENTANGLED_DEPTH3_P11,3,2003,0.2,11,0.2555,"{'00': 949, '10': 956, '11': 1022, '01': 1073}"
ENTANGLED_DEPTH3_P11,3,2003,0.3,11,0.256,"{'00': 981, '10': 976, '11': 1024, '01': 1019}"
ENTANGLED_DEPTH3_P11,4,2004,0.05,11,0.25475,"{'11': 1019, '01': 1338, '00': 788, '10': 855}"
ENTANGLED_DEPTH3_P11,4,2004,0.1,11,0.25725,"{'11': 1029, '01': 1231, '00': 854, '10': 886}"
ENTANGLED_DEPTH3_P11,4,2004,0.2,11,0.25925,"{'11': 1037, '01': 1091, '00': 940, '10': 932}"
ENTANGLED_DEPTH3_P11,4,2004,0.3,11,0.25925,"{'11': 1037, '01': 1041, '00': 974, '10': 948}"
