experiment_id,bootstrap_run,seed,noise_level,shots,zzz_expectation,counts
GHZ3_ZZZ_BOOTSTRAP_AIC,0,3000,0.05,4000,-0.0175,"{'111': 1777, '000': 1728, '110': 147, '100': 63, '001': 136, '101': 41, '011': 49, '010': 59}"
GHZ3_ZZZ_BOOTSTRAP_AIC,0,3000,0.1,4000,0.0035,"{'111': 1541, '000': 1516, '110': 272, '101': 111, '100': 104, '010': 89, '001': 259, '011': 108}"
GHZ3_ZZZ_BOOTSTRAP_AIC,0,3000,0.2,4000,-0.0115,"{'111': 1168, '000': 1135, '110': 440, '100': 215, '001': 433, '011': 197, '010': 207, '101': 205}"
GHZ3_ZZZ_BOOTSTRAP_AIC,0,3000,0.3,4000,0.0005,"{'111': 872, '000': 843, '110': 544, '001': 543, '101': 310, '100': 302, '010': 282, '011': 304}"
GHZ3_ZZZ_BOOTSTRAP_AIC,1,3001,0.05,4000,-0.0195,"{'000': 1734, '111': 1805, '010': 42, '110': 128, '100': 53, '001': 139, '011': 42, '101': 57}"
GHZ3_ZZZ_BOOTSTRAP_AIC,1,3001,0.1,4000,-0.0465,"{'001': 299, '111': 1588, '011': 84, '000': 1478, '101': 100, '100': 110, '010': 96, '110': 245}"
GHZ3_ZZZ_BOOTSTRAP_AIC,1,3001,0.2,4000,-0.03,"{'010': 225, '111': 1190, '011': 180, '000': 1117, '001': 435, '100': 210, '110': 459, '101': 184}"
GHZ3_ZZZ_BOOTSTRAP_AIC,1,3001,0.3,4000,-0.022,"{'011': 286, '111': 905, '001': 532, '010': 316, '100': 291, '110': 543, '000': 823, '101': 304}"
GHZ3_ZZZ_BOOTSTRAP_AIC,2,3002,0.05,4000,-0.011,"{'000': 1740, '101': 61, '001': 156, '111': 1759, '110': 129, '011': 48, '010': 55, '100': 52}"
GHZ3_ZZZ_BOOTSTRAP_AIC,2,3002,0.1,4000,-0.0155,"{'000': 1518, '100': 113, '010': 122, '111': 1540, '001': 256, '110': 261, '101': 87, '011': 103}"
GHZ3_ZZZ_BOOTSTRAP_AIC,2,3002,0.2,4000,0.024,"{'000': 1163, '100': 200, '001': 421, '011': 225, '110': 470, '010': 190, '101': 190, '111': 1141}"
GHZ3_ZZZ_BOOTSTRAP_AIC,2,3002,0.3,4000,0.005,"{'000': 854, '001': 537, '100': 298, '010': 300, '011': 308, '110': 526, '101': 322, '111': 855}"
GHZ3_ZZZ_BOOTSTRAP_AIC,3,3003,0.05,4000,-0.015,"{'000': 1754, '001': 125, '111': 1807, '101': 56, '100': 50, '010': 48, '110': 117, '011': 43}"
GHZ3_ZZZ_BOOTSTRAP_AIC,3,3003,0.1,4000,-0.0275,"{'000': 1509, '001': 278, '111': 1579, '110': 262, '100': 106, '010': 92, '011': 91, '101': 83}"
GHZ3_ZZZ_BOOTSTRAP_AIC,3,3003,0.2,4000,0.009,"{'000': 1154, '010': 212, '110': 486, '101': 195, '111': 1160, '001': 421, '100': 189, '011': 183}"
GHZ3_ZZZ_BOOTSTRAP_AIC,3,3003,0.3,4000,0.024,"{'000': 875, '011': 289, '110': 548, '101': 336, '111': 868, '001': 514, '100': 278, '010': 292}"
GHZ3_ZZZ_BOOTSTRAP_AIC,4,3004,0.05,4000,-0.0095,"{'000': 1756, '100': 54, '111': 1774, '110': 138, '011': 42, '001': 134, '101': 45, '010': 57}"
