experiment_id,bootstrap_run,seed,basis,fold_factor,noise_p,shots,expectation,counts
GHZ4_FOLDING_ZZZZ_vs_XXXX,0,7000,Z,1,0.08,3000,0.5806666666666667,"{'1111': 1087, '1000': 68, '0000': 1074, '0001': 130, '1101': 50, '0011': 95, '1011': 60, '1110': 154, '1100': 89, '0100': 58, '0111': 63, '0010': 46, '1001': 12, '1010': 7, '0101': 4, '0110': 3}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,0,7000,X,1,0.08,3000,0.372,"{'1001': 243, '1010': 269, '1101': 99, '0011': 287, '0110': 221, '1111': 278, '1110': 115, '0101': 270, '1000': 142, '0100': 110, '0010': 105, '0001': 121, '1011': 125, '1100': 256, '0000': 234, '0111': 125}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,0,7000,Z,3,0.08,3000,0.5806666666666667,"{'1111': 1087, '1000': 68, '0000': 1074, '0001': 130, '1101': 50, '0011': 95, '1011': 60, '1110': 154, '1100': 89, '0100': 58, '0111': 63, '0010': 46, '1001': 12, '1010': 7, '0101': 4, '0110': 3}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,0,7000,X,3,0.08,3000,0.372,"{'1001': 243, '1010': 269, '1101': 99, '0011': 287, '0110': 221, '1111': 278, '1110': 115, '0101': 270, '1000': 142, '0100': 110, '0010': 105, '0001': 121, '1011': 125, '1100': 256, '0000': 234, '0111': 125}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,0,7000,Z,5,0.08,3000,0.5806666666666667,"{'1111': 1087, '1000': 68, '0000': 1074, '0001': 130, '1101': 50, '0011': 95, '1011': 60, '1110': 154, '1100': 89, '0100': 58, '0111': 63, '0010': 46, '1001': 12, '1010': 7, '0101': 4, '0110': 3}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,0,7000,X,5,0.08,3000,0.372,"{'1001': 243, '1010': 269, '1101': 99, '0011': 287, '0110': 221, '1111': 278, '1110': 115, '0101': 270, '1000': 142, '0100': 110, '0010': 105, '0001': 121, '1011': 125, '1100': 256, '0000': 234, '0111': 125}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,1,7001,Z,1,0.08,3000,0.588,"{'1100': 108, '1000': 50, '0000': 1071, '1111': 1072, '1110': 151, '1011': 52, '0001': 138, '0100': 43, '0011': 102, '0010': 58, '1101': 71, '0111': 55, '1001': 5, '0101': 11, '1010': 8, '0110': 5}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,1,7001,X,1,0.08,3000,0.4026666666666667,"{'1010': 241, '1001': 291, '1100': 268, '0011': 230, '0000': 269, '1000': 106, '0100': 108, '1111': 289, '0010': 123, '0110': 252, '0101': 264, '1011': 108, '0001': 130, '1101': 110, '1110': 104, '0111': 107}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,1,7001,Z,3,0.08,3000,0.588,"{'1100': 108, '1000': 50, '0000': 1071, '1111': 1072, '1110': 151, '1011': 52, '0001': 138, '0100': 43, '0011': 102, '0010': 58, '1101': 71, '0111': 55, '1001': 5, '0101': 11, '1010': 8, '0110': 5}"
GHZ4_FOLDING_ZZZZ_vs_XXXX,1,7001,X,3,0.08,3000,0.4026666666666667,"{'1010': 241, '1001': 291, '1100': 268, '0011': 230, '0000': 269, '1000': 106, '0100': 108, '1111': 289, '0010': 123, '0110': 252, '0101': 264, '1011': 108, '0001': 130, '1101': 110, '1110': 104, '0111': 107}"
