experiment_id,noise_p,basis,folds,B,shots,model_selected,zne_mean,zne_std,ci_lo,ci_hi,ci_width,AIC_lineare,AIC_quadratico,flag_out_of_range,flag_wide_CI,flag_CI_outside_range
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.02,Z,1;3;5;7;9;11,15,1500,Lineare,0.8852444444444445,0.008226425352124285,0.8729333333333336,0.899,0.02606666666666646,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.02,X,1;3;5;7;9;11,15,1500,Lineare,0.8011555555555557,0.012198013542849228,0.7800666666666667,0.8213333333333332,0.04126666666666656,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.05,Z,1;3;5;7;9;11,15,1500,Lineare,0.7279111111111114,0.01695159620084827,0.7010666666666668,0.7552000000000001,0.054133333333333256,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.05,X,1;3;5;7;9;11,15,1500,Lineare,0.5535111111111111,0.023824046364654038,0.5254000000000001,0.6053333333333335,0.07993333333333341,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.1,Z,1;3;5;7;9;11,15,1500,Lineare,0.5122666666666666,0.027191034937132832,0.46646666666666675,0.5596,0.09313333333333323,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.1,X,1;3;5;7;9;11,15,1500,Lineare,0.30533333333333335,0.030089812651407897,0.2511333333333334,0.35166666666666674,0.10053333333333336,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.15,Z,1;3;5;7;9;11,15,1500,Lineare,0.34986666666666666,0.03446756008789568,0.27793333333333337,0.3958666666666667,0.11793333333333333,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.15,X,1;3;5;7;9;11,15,1500,Lineare,0.15564444444444445,0.01909353196668871,0.13073333333333334,0.19320000000000007,0.062466666666666726,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.2,Z,1;3;5;7;9;11,15,1500,Lineare,0.21360000000000004,0.03078321538121627,0.1668,0.26486666666666675,0.09806666666666675,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.2,X,1;3;5;7;9;11,15,1500,Lineare,0.07031111111111113,0.02831328889483397,0.030400000000000007,0.12353333333333337,0.09313333333333336,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.25,Z,1;3;5;7;9;11,15,1500,Lineare,0.13244444444444445,0.02488662121188642,0.09580000000000004,0.1686666666666667,0.07286666666666665,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.25,X,1;3;5;7;9;11,15,1500,Lineare,0.023288888888888894,0.027025521937214025,-0.021133333333333344,0.06880000000000001,0.08993333333333337,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.3,Z,1;3;5;7;9;11,15,1500,Lineare,0.07360000000000001,0.019956778694794803,0.041000000000000016,0.10566666666666666,0.06466666666666665,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.3,X,1;3;5;7;9;11,15,1500,Lineare,0.0004444444444444436,0.03375981142904782,-0.04726666666666668,0.06706666666666669,0.11433333333333337,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.35,Z,1;3;5;7;9;11,15,1500,Lineare,0.03004444444444445,0.034537733371705605,-0.03686666666666667,0.0784666666666667,0.11533333333333337,-161.78612669557134,-159.78612669557134,False,False,False
GHZ4_ZNE_BREAKDOWN_MAP_FOLDING_EXTENDED,0.35,X,1;3;5;7;9;11,15,1500,Lineare,0.004888888888888887,0.029036011211768523,-0.044933333333333346,0.048600000000000004,0.09353333333333336,-161.78612669557134,-159.78612669557134,False,False,False
