bootstrap_run,noise_level,expectation
0,0.05,0.741
0,0.1,0.5205
0,0.2,0.2265
0,0.3,0.054
1,0.05,0.7075
1,0.1,0.5225
1,0.2,0.205
1,0.3,0.0565
2,0.05,0.7355
2,0.1,0.507
2,0.2,0.2045
2,0.3,0.052
3,0.05,0.737
3,0.1,0.5085
3,0.2,0.21
3,0.3,0.081
4,0.05,0.728
4,0.1,0.497
4,0.2,0.202
4,0.3,0.052
5,0.05,0.741
5,0.1,0.5105
5,0.2,0.2045
5,0.3,0.059
6,0.05,0.7355
6,0.1,0.512
6,0.2,0.222
6,0.3,0.0795
7,0.05,0.71
7,0.1,0.499
7,0.2,0.2085
7,0.3,0.041
8,0.05,0.7215
8,0.1,0.5005
8,0.2,0.2245
8,0.3,0.064
9,0.05,0.726
9,0.1,0.491
9,0.2,0.2295
9,0.3,0.0665
10,0.05,0.7075
10,0.1,0.528
10,0.2,0.208
10,0.3,0.077
11,0.05,0.731
11,0.1,0.5145
11,0.2,0.213
11,0.3,0.0895
12,0.05,0.7235
12,0.1,0.5025
12,0.2,0.1745
12,0.3,0.0375
13,0.05,0.733
13,0.1,0.5205
13,0.2,0.197
13,0.3,0.061
14,0.05,0.716
14,0.1,0.5065
14,0.2,0.2105
14,0.3,0.066
15,0.05,0.721
15,0.1,0.4985
15,0.2,0.208
15,0.3,0.029
16,0.05,0.733
16,0.1,0.502
16,0.2,0.221
16,0.3,0.046
17,0.05,0.73
17,0.1,0.505
17,0.2,0.2145
17,0.3,0.0625
18,0.05,0.729
18,0.1,0.5105
18,0.2,0.236
18,0.3,0.065
19,0.05,0.723
19,0.1,0.509
19,0.2,0.2275
19,0.3,0.064
20,0.05,0.731
20,0.1,0.5075
20,0.2,0.2125
20,0.3,0.048
21,0.05,0.7255
21,0.1,0.5065
21,0.2,0.222
21,0.3,0.0305
22,0.05,0.723
22,0.1,0.5245
22,0.2,0.21
22,0.3,0.0535
23,0.05,0.741
23,0.1,0.519
23,0.2,0.2275
23,0.3,0.0415
24,0.05,0.7375
24,0.1,0.501
24,0.2,0.2255
24,0.3,0.0435
25,0.05,0.7185
25,0.1,0.5215
25,0.2,0.1965
25,0.3,0.072
26,0.05,0.7115
26,0.1,0.511
26,0.2,0.2185
26,0.3,0.071
27,0.05,0.724
27,0.1,0.5085
27,0.2,0.201
27,0.3,0.0695
28,0.05,0.7255
28,0.1,0.539
28,0.2,0.226
28,0.3,0.07
29,0.05,0.7255
29,0.1,0.5025
29,0.2,0.1985
29,0.3,0.0455
