experiment_id,bootstrap_run,seed,basis,noise_level,shots,expectation,counts
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,Z,0.05,4000,0.742,"{'1111': 1658, '1000': 40, '0000': 1632, '0001': 130, '0011': 85, '1100': 88, '0010': 35, '1110': 135, '0111': 51, '1101': 44, '0100': 51, '1011': 30, '1010': 6, '0101': 3, '1001': 8, '0110': 4}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,X,0.05,4000,0.55,"{'1010': 370, '0100': 109, '1110': 111, '0101': 378, '1111': 388, '0000': 379, '1100': 411, '1011': 129, '0011': 423, '0110': 352, '1101': 102, '0010': 112, '0001': 120, '1001': 399, '1000': 99, '0111': 118}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,Z,0.1,4000,0.542,"{'1111': 1348, '0000': 1344, '0001': 218, '0011': 149, '1110': 202, '1011': 74, '0010': 76, '0100': 76, '1000': 74, '1100': 165, '1101': 114, '0111': 82, '0110': 27, '1001': 10, '1010': 22, '0101': 19}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,X,0.1,4000,0.3065,"{'0001': 184, '1010': 307, '0100': 165, '1110': 169, '0101': 322, '0000': 315, '1100': 352, '1011': 192, '1111': 330, '0011': 355, '0110': 291, '0010': 180, '1101': 161, '1001': 341, '0111': 179, '1000': 157}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,Z,0.2,4000,0.198,"{'0100': 128, '1101': 182, '0001': 341, '0011': 246, '1111': 839, '0000': 845, '1110': 352, '0010': 184, '1100': 250, '1001': 53, '0110': 58, '1000': 127, '0101': 43, '0111': 146, '1010': 62, '1011': 144}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,X,0.2,4000,0.0845,"{'1011': 256, '0100': 213, '1110': 218, '0101': 274, '0000': 254, '1100': 281, '0001': 245, '1111': 281, '0011': 303, '0110': 243, '0010': 232, '1010': 243, '1101': 232, '1000': 208, '0111': 227, '1001': 290}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,Z,0.3,4000,0.05,"{'0011': 286, '1100': 286, '0010': 262, '1101': 274, '0100': 168, '1111': 520, '0000': 524, '1110': 342, '0001': 354, '0110': 116, '1011': 164, '0101': 102, '1001': 128, '0111': 179, '1000': 157, '1010': 138}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,0,5000,X,0.3,4000,0.0225,"{'1011': 271, '1101': 249, '0100': 228, '1110': 239, '0101': 259, '0000': 238, '1100': 264, '0001': 261, '0011': 286, '1111': 260, '0110': 234, '0010': 249, '1010': 228, '1000': 222, '0111': 236, '1001': 276}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,Z,0.05,4000,0.726,"{'1010': 5, '0001': 139, '1111': 1635, '0111': 42, '1000': 58, '0000': 1612, '1100': 93, '1101': 51, '0010': 55, '1011': 45, '1110': 125, '0011': 93, '0100': 33, '0101': 6, '0110': 4, '1001': 4}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,X,0.05,4000,0.545,"{'1111': 420, '0110': 417, '0111': 94, '0011': 387, '0000': 350, '1000': 119, '1001': 387, '0101': 401, '1100': 360, '0010': 105, '1010': 368, '0100': 117, '1011': 121, '0001': 113, '1110': 125, '1101': 116}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,Z,0.1,4000,0.5025,"{'0011': 174, '1111': 1324, '0111': 73, '1000': 101, '0000': 1291, '1011': 85, '0001': 231, '1110': 228, '1101': 91, '1100': 159, '0100': 87, '0010': 99, '0101': 17, '0110': 12, '1010': 17, '1001': 11}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,X,0.1,4000,0.2985,"{'1111': 342, '0110': 349, '1110': 203, '0111': 162, '0011': 337, '0000': 292, '1000': 190, '1001': 316, '0101': 341, '0001': 171, '1100': 298, '1101': 178, '0010': 155, '1010': 322, '0100': 177, '1011': 167}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,Z,0.2,4000,0.219,"{'0101': 68, '1111': 861, '0111': 122, '1000': 145, '0000': 781, '0100': 139, '1001': 69, '0011': 266, '1100': 258, '0001': 334, '1110': 316, '0010': 207, '1011': 128, '0110': 67, '1101': 171, '1010': 68}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,X,0.2,4000,0.0595,"{'1111': 292, '0110': 284, '0101': 276, '1110': 253, '0111': 227, '0011': 275, '0000': 239, '1000': 253, '0001': 224, '1101': 244, '1100': 232, '0010': 217, '1010': 268, '0100': 242, '1001': 253, '1011': 221}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,Z,0.3,4000,0.067,"{'1111': 565, '0110': 132, '0111': 161, '1001': 127, '0001': 322, '0000': 483, '1000': 188, '0100': 184, '1110': 319, '1011': 173, '0010': 264, '1010': 119, '1101': 255, '0011': 314, '1100': 270, '0101': 124}"
GHZ4_ZZZZ_vs_XXXX_BOOTSTRAP_AIC,1,5001,X,0.3,4000,0.001,"{'1111': 272, '0110': 269, '0101': 259, '1110': 273, '0111': 242, '0011': 261, '0000': 226, '1000': 261, '0001': 237, '1101': 256, '1100': 220, '0010': 231, '1010': 250, '0100': 259, '1001': 245, '1011': 239}"
